state,fips,district,Income (In 2011 Inflation-Adjusted Dollars):Median Household Income,Income (In 2011 Inflation-Adjusted Dollars):Median Household IncomeMOE,Housing Occupancy:Occupied Housing Units,Housing Occupancy:Occupied Housing UnitsMOE,Housing Occupancy:Total Housing Units,Housing Occupancy:Total Housing UnitsMOE,Housing Occupancy:Vacant Housing Units,Housing Occupancy:Vacant Housing UnitsMOE,Age:10 to 14 years,Age:10 to 14 yearsMOE,Age:15 to 19 years,Age:15 to 19 yearsMOE,Age:20 to 24 years,Age:20 to 24 yearsMOE,Age:25 to 34 years,Age:25 to 34 yearsMOE,Age:35 to 44 years,Age:35 to 44 yearsMOE,Age:45 to 54 years,Age:45 to 54 yearsMOE,Age:5 to 9 years,Age:5 to 9 yearsMOE,Age:55 to 59 years,Age:55 to 59 yearsMOE,Age:60 to 64 years,Age:60 to 64 yearsMOE,Age:65 years and over,Age:65 years and overMOE,Age:Total Population,Age:Total PopulationMOE,Age:Under 5 years,Age:Under 5 yearsMOE,Veteran Status:Civilian Population 18 Years and Over,Veteran Status:Civilian Population 18 Years and OverMOE,Veteran Status:Civilian Veterans,Veteran Status:Civilian VeteransMOE,Sex:Female,Sex:FemaleMOE,Sex:Male,Sex:MaleMOE,Sex:Total Population,Sex:Total PopulationMOE,Educational Attainment:9th to 12th Grade No Diploma,Educational Attainment:9th to 12th Grade No DiplomaMOE,Educational Attainment:Associate's Degree,Educational Attainment:Associate's DegreeMOE,Educational Attainment:Bachelor's Degree,Educational Attainment:Bachelor's DegreeMOE,Educational Attainment:Graduate or Professional Degree,Educational Attainment:Graduate or Professional DegreeMOE,Educational Attainment:High School Graduate (Includes Equivalency),Educational Attainment:High School Graduate (Includes Equivalency)MOE,Educational Attainment:Less than 9th Grade,Educational Attainment:Less than 9th GradeMOE,Educational Attainment:Percent Bachelor's Degree or Higher,Educational Attainment:Percent Bachelor's Degree or HigherMOE,Educational Attainment:Percent High School Graduate or Higher,Educational Attainment:Percent High School Graduate or HigherMOE,Educational Attainment:Population 25 Years and Over,Educational Attainment:Population 25 Years and OverMOE,Educational Attainment:Some College No Degree,Educational Attainment:Some College No DegreeMOE,Race:American Indian and Alaska Native,Race:American Indian and Alaska NativeMOE,Race:Asian,Race:AsianMOE,Race:Black or African American,Race:Black or African AmericanMOE,Race:Native Hawaiian and Other Pacific Islander,Race:Native Hawaiian and Other Pacific IslanderMOE,Race:One Race,Race:One RaceMOE,Race:Some Other Race,Race:Some Other RaceMOE,Race:Total Population,Race:Total PopulationMOE,Race:Two or More Races,Race:Two or More RacesMOE,Race:White,Race:WhiteMOE,Hispanic or Latino Origin:Hispanic or Latino (of any race),Hispanic or Latino Origin:Hispanic or Latino (of any race)MOE,Hispanic or Latino Origin:Not Hispanic or Latino,Hispanic or Latino Origin:Not Hispanic or LatinoMOE,Hispanic or Latino Origin:Total Population,Hispanic or Latino Origin:Total PopulationMOE,Housing Tenure:Occupied Housing Units,Housing Tenure:Occupied Housing UnitsMOE,Housing Tenure:Owner-Occupied Housing Units,Housing Tenure:Owner-Occupied Housing UnitsMOE,Housing Tenure:Renter-Occupied Housing Units,Housing Tenure:Renter-Occupied Housing UnitsMOE,Population:Total Population,Population:Total PopulationMOE
Massachusetts,25,09,57517,2833,288612,5800,401012,3597,112400,5261,42226,3025,47312,2356,43893,2713,75796,3229,88852,3719,115181,3710,41501,3121,56943,3569,48827,2962,132930,2799,727771,8210,34310,2208,580068,6208,53477,3007,375957,5249,351814,5199,727771,8210,31032,2599,46233,3446,104255,4826,61875,4110,148057,7834,26722,2780,32,1.3,88.9,0.7,518529,6189,100355,5399,2189,690,9103,1822,22222,2895,99,142,713172,8849,18560,3318,727771,8210,14599,2682,660999,8923,30225,2642,697546,8391,727771,8210,288612,5800,204625,5231,83987,4774,727771,8210
Michigan,26,01,40765,694,286218,3998,443265,2301,157047,3838,41328,1979,46136,1460,43217,1381,72963,1601,79527,1290,107868,969,37498,2023,58375,2007,52922,1950,134522,768,708797,2310,34441,856,567696,2322,71259,2860,348123,1979,360674,2047,708797,2310,35655,2268,44107,2439,66783,2553,40094,2172,181468,3959,15278,1524,21.1,0.6,89.9,0.5,506177,2371,122792,3658,18589,1746,4650,777,11485,2172,138,199,693988,3001,1882,708,708797,2310,14809,2077,657244,2456,10284,732,698513,2322,708797,2310,286218,3998,223855,3417,62363,2826,708797,2310
Michigan,26,02,45712,1253,260298,4008,310465,2540,50167,2996,51812,3164,52198,1939,56443,2968,90311,3385,84587,2567,101059,2306,45684,3495,46998,3064,42820,3230,90502,1803,709073,3868,46659,1839,534401,3674,47514,2559,356684,2873,352389,3847,709073,3868,34489,3230,40979,3015,70669,4180,36282,2796,147303,5681,18675,2106,23.4,1.1,88.3,0.8,456277,3877,107880,5122,2795,718,14877,2226,44785,3886,68,113,688863,5103,17173,4439,709073,3868,20210,2988,609165,5912,61478,3739,647595,5549,709073,3868,260298,4008,192354,3384,67944,3423,709073,3868
Michigan,26,03,48010,1753,266889,3205,296849,2383,29960,2691,49858,2899,51409,1643,47052,1751,90774,2404,91129,2403,104297,2338,52105,2896,44979,2245,40281,2104,89549,1935,709467,4007,48034,1643,527743,3587,46078,2708,359581,2937,349886,3520,709467,4007,32671,2586,38853,2500,81276,3751,44273,3055,140068,4098,15849,2439,27.2,0.9,89.5,0.6,461009,3316,108019,3399,3139,937,9204,1720,63780,3322,156,246,687674,4721,9548,2332,709467,4007,21793,3116,601847,5183,48894,3750,660573,5692,709467,4007,266889,3205,193954,3251,72935,2964,709467,4007
Michigan,26,04,42586,784,268889,3907,344660,2169,75771,3642,42991,2042,56340,1947,55788,2176,76432,1556,79680,1619,104315,1814,42953,2047,50293,1905,44904,1935,111244,1747,703259,4815,38319,1361,550589,3810,53385,2405,351045,2773,352214,3024,703259,4815,35661,2040,42545,2259,58952,2705,35537,2632,168804,3902,12716,1309,20.2,0.7,89.6,0.5,466868,3611,112653,3824,5776,921,6171,1133,14329,1725,246,220,689889,5259,3471,1071,703259,4815,13370,1784,659896,4735,19355,1410,683904,4609,703259,4815,268889,3907,209151,3442,59738,2663,703259,4815
Michigan,26,05,39783,977,273381,3741,328157,1942,54776,3426,48991,2653,49375,1327,45031,1422,79757,1720,84776,1462,103517,1654,44050,3044,50282,2363,44831,2198,106049,1525,698753,4307,42094,1064,532892,3468,53051,3354,361175,2674,337578,2671,698753,4307,41291,3084,43275,2298,56589,3515,28118,2438,162244,5111,14872,1684,18.1,0.8,88,0.8,469212,3067,122823,4252,4013,986,5256,894,122578,2524,81,97,678266,5202,4114,1314,698753,4307,20487,2905,542224,4722,31912,1368,666841,4064,698753,4307,273381,3741,194043,3603,79338,3145,698753,4307
Michigan,26,06,44376,1076,264347,4682,325869,1141,61522,4383,46905,2495,52003,1296,55001,1400,81729,2032,84916,1405,102128,943,46771,2296,48620,2081,44534,2243,100586,681,707375,1078,44182,848,539689,1296,49680,2712,359967,1571,347408,1664,707375,1078,34526,2511,39424,2542,71205,3760,42347,2760,147566,4510,16889,2256,24.6,0.9,88.9,0.7,462513,1661,110556,4033,2786,664,9409,937,61452,2033,185,166,688395,2678,12200,2749,707375,1078,18980,2351,602363,2892,38953,6,668422,1077,707375,1078,264347,4682,196247,3866,68100,3598,707375,1078
Michigan,26,07,49475,1152,264174,3267,301967,1820,37793,3282,48751,2497,49920,1772,43085,1596,77365,2165,90141,2158,111013,2028,42471,2572,54489,1966,43216,1993,100717,1455,701436,3882,40268,1367,539047,3038,54391,2796,349170,2861,352266,2428,701436,3882,32906,2245,42961,3198,60993,3497,39700,3211,163156,4483,11949,1618,21.1,0.9,90.6,0.6,476941,2994,125276,4898,3171,687,5844,887,28948,1590,0,167,687057,3921,5307,1510,701436,3882,14379,2079,643787,3836,27986,1419,673450,3834,701436,3882,264174,3267,201859,3303,62315,3061,701436,3882
Michigan,26,08,57241,1417,264552,3581,291206,2443,26654,3193,47773,2548,57126,2313,60865,1700,82588,2939,89198,2691,109545,2388,46058,2743,51766,3100,40033,2557,84364,2829,706826,6068,37510,1553,544514,4900,39952,2472,357989,4212,348837,4086,706826,6068,24147,2399,38554,2621,101097,3956,65741,3094,106732,5000,11701,1990,36.5,0.9,92.2,0.7,457494,4698,109522,5200,1552,664,26527,2846,39528,3515,732,727,685758,6694,6864,1645,706826,6068,21068,2867,610555,7193,32431,2111,674395,6463,706826,6068,264552,3581,190770,3615,73782,3287,706826,6068
Michigan,26,09,47777,1629,295186,3604,323568,3744,28382,3362,44867,3119,42663,2828,42910,2736,98110,4588,94607,3511,108839,4582,38633,2851,49123,2561,43111,2932,110112,3621,712540,7661,39565,2747,564177,5628,46599,2843,365900,5672,346640,5693,712540,7661,38928,3177,41027,3002,84253,4149,50550,3219,154974,5638,20206,2942,26.8,1,88.3,0.9,503902,5392,113964,4595,3235,972,26805,2671,77492,5071,165,198,698525,7695,4379,1761,712540,7661,14015,2497,586449,8282,11570,2235,700970,7866,712540,7661,295186,3604,210505,3954,84681,3953,712540,7661
Michigan,26,10,53121,1483,260527,3625,298535,3192,38008,3139,47291,2424,49656,2239,39123,2102,75971,3008,95058,3167,115231,3844,46920,3114,49065,2831,45734,2423,99506,2822,701831,6694,38276,2400,534806,4845,51522,2837,355941,4226,345890,4098,701831,6694,31741,2673,47824,2446,66636,3823,35040,2657,164707,5061,15509,2297,21.2,0.8,90.2,0.8,480565,4056,119108,4437,1605,556,10712,2075,17566,3448,0,167,689651,6671,6530,2639,701831,6694,12180,1607,653238,7420,24317,1830,677514,6495,701831,6694,260527,3625,206319,3391,54208,2942,701831,6694
Michigan,26,11,69397,1859,272807,4501,294000,4120,21193,2589,49400,2994,48221,3129,35690,2427,76915,3749,98959,3561,118723,4443,48795,3218,51719,2711,44913,2955,93753,4095,706645,6621,39557,2651,537117,6947,43211,2401,360109,5125,346536,4625,706645,6621,21613,2251,40672,3042,128077,5019,85558,4044,106088,4601,8105,1638,44.1,1.2,93.9,0.6,484982,6236,94869,4726,2032,911,51817,4676,33556,5158,271,198,690596,7131,3016,1169,706645,6621,16049,2997,599904,9858,25610,3171,681035,7139,706645,6621,272807,4501,207640,3920,65167,3235,706645,6621
Michigan,26,12,48575,1628,270082,4336,297054,4254,26972,2883,42349,2769,58869,2824,68441,2837,94924,3549,92328,4085,97061,3886,42088,2907,46812,2694,38643,2676,82501,3152,703389,7448,39373,2769,550969,6434,40270,2472,359218,5635,344171,5139,703389,7448,36179,2781,33105,2912,79237,3597,67013,3527,115075,4669,17312,2232,32.3,1,88.2,0.7,452269,5409,104348,4050,2683,870,32328,2334,72554,5436,0,167,678634,8417,7673,2517,703389,7448,24755,3468,563396,8236,36513,3949,666876,8515,703389,7448,270082,4336,175423,4274,94659,3933,703389,7448
Michigan,26,13,29863,931,257458,4507,342188,4927,84730,4493,50045,3305,53311,3425,51938,3108,84916,3897,93476,4328,97578,4217,47797,3348,45798,2873,38830,2524,87044,3267,699214,13261,48481,3037,521864,9545,37791,2521,367895,8194,331319,7225,699214,13261,60021,4192,29881,2591,40670,3208,19117,2379,152696,6474,27669,2415,13.4,0.9,80.4,1,447642,8386,117588,4927,1949,650,8357,2532,395288,12375,0,167,682623,13610,13779,3198,699214,13261,16591,2858,263250,7771,45673,4013,653541,13272,699214,13261,257458,4507,149304,3867,108154,3841,699214,13261
Michigan,26,14,38315,1506,267625,5471,327871,5633,60246,4351,49482,2706,53852,3304,51691,3172,86029,4602,85685,3925,100738,3834,43450,3459,48257,3091,44343,2975,97421,3750,707582,12806,46634,3373,533584,9504,36348,2793,374713,7825,332869,7447,707582,12806,49340,3993,32761,2654,71165,4000,61297,3546,117323,5475,22098,2426,28.6,1,84.6,1,462473,8649,108489,5399,1394,661,30275,4194,404798,12573,76,122,683437,13309,9309,2620,707582,12806,24145,4511,237585,9216,32444,3782,675138,12609,707582,12806,267625,5471,154856,4452,112769,4337,707582,12806
Minnesota,27,01,52335,1159,260589,2766,283262,1380,22673,2325,41794,2025,48739,1414,47157,1593,85714,1923,73670,1362,95943,1376,45955,2026,45465,1675,37478,1664,100960,888,666103,2928,43228,1236,508522,2259,46484,1690,334788,1985,331315,2644,666103,2928,22362,1836,49111,2471,77729,2831,37719,2154,138090,4181,16252,1544,26.3,0.8,91.2,0.5,439230,2183,97967,3451,2237,709,14112,1603,16240,1449,0,143,654296,3533,5650,1342,666103,2928,11807,2147,616057,3233,38495,1161,627608,2880,666103,2928,260589,2766,196377,2994,64212,2884,666103,2928
Minnesota,27,02,70095,1341,248707,2701,263837,1316,15130,2558,49139,2748,48371,1412,36545,1529,87726,1997,95443,2394,108811,2168,49959,2601,42176,2299,35434,2161,70183,1286,668891,2505,45104,1186,493818,2149,46049,2846,337859,2191,331032,2173,668891,2505,15744,1887,48847,2810,109609,3715,49450,3029,109418,4002,7500,1199,36.2,1,94.7,0.5,439773,2023,99205,4070,3456,1004,27008,2033,24832,1919,44,66,649695,3655,11001,3405,668891,2505,19196,2720,583354,4159,34902,908,633989,2438,668891,2505,248707,2701,196929,3200,51778,2820,668891,2505
Minnesota,27,03,73468,2020,258808,3358,271738,3306,12930,1886,44462,2922,42560,2835,34700,2714,90369,4239,88322,3510,109232,3301,48190,3427,49222,2547,37729,2394,77506,3332,664419,5209,42127,2335,499079,5076,37889,2234,339577,4773,324842,4252,664419,5209,14310,2298,42862,2819,136168,5082,70181,3890,84324,4365,7555,1761,45.6,1.2,95.2,0.6,452380,4331,96980,4419,3582,1255,39917,4225,42942,4363,0,143,645920,5938,7004,2910,664419,5209,18499,3736,552475,8195,24840,4193,639579,6080,664419,5209,258808,3358,195521,3780,63287,3322,664419,5209
Minnesota,27,04,57791,1890,261574,2692,275983,1572,14409,2193,43521,2565,47651,1292,52087,1121,97287,1822,81235,1593,97879,1897,42950,2197,41154,2342,41252,2109,79072,1449,669310,3404,45222,1091,510420,2451,38643,2229,342971,2583,326339,2323,669310,3404,20536,2152,39099,2577,106936,4011,63094,2980,98041,3945,20678,2486,38.8,1.1,90.6,0.7,437879,2186,89495,3800,4019,1432,69943,2284,61788,2988,232,214,646690,4422,13952,3406,669310,3404,22620,3360,496756,4708,42320,1413,626990,3536,669310,3404,261574,2692,166531,3496,95043,3778,669310,3404
Minnesota,27,05,50923,1179,285130,3721,307840,3549,22710,2957,34227,2878,41057,2842,56770,2471,127607,4115,89655,3369,89113,3133,40813,2495,38851,2277,33278,2404,78587,2936,677196,5549,47238,2130,534515,4973,36479,2580,342099,5207,335097,4191,677196,5549,25655,2368,32067,2795,126234,4504,67624,3680,91458,4328,22555,2593,42.4,1.1,89.5,0.8,457091,4490,91498,4135,7989,1792,39014,4065,105954,5151,120,144,650066,6388,21768,4015,677196,5549,27130,3222,475221,7904,65556,4295,611640,6218,677196,5549,285130,3721,157461,3447,127669,3932,677196,5549
Minnesota,27,06,65461,1725,242751,2821,258076,2585,15325,2241,53750,3149,51311,2033,45354,1742,85761,2951,95530,2384,104457,2292,48138,2744,43064,2308,34253,1962,64895,1911,675415,4653,48902,2215,494743,3572,45731,3000,336251,4291,339164,3044,675415,4653,17973,2410,49868,3316,86097,4187,34141,3277,123456,4577,11373,1566,28.1,1,93.1,0.7,427960,3476,105052,4389,3223,1075,15851,2274,14904,2818,0,143,662581,5098,8208,3079,675415,4653,12834,2604,620395,5699,17120,2587,658295,4567,675415,4653,242751,2821,194768,3204,47983,2935,675415,4653
Minnesota,27,07,47739,822,269576,2706,324708,1534,55132,2305,43723,1438,44849,1174,41142,1257,76414,1555,70162,1385,95087,1308,41405,1718,46972,1678,41186,1725,117212,1195,661532,3103,43380,1118,506386,2475,52780,1975,328279,2125,333253,1900,661532,3103,24479,1449,54831,2604,66638,2779,25196,1771,156926,3535,18952,1226,20.5,0.7,90.3,0.4,447033,2367,100011,3024,19327,1270,6086,651,5217,655,203,119,650340,3270,5948,1315,661532,3103,11192,1379,613559,3377,25149,930,636383,3209,661532,3103,269576,2706,207429,2859,62147,2149,661532,3103
Minnesota,27,08,46692,979,269342,3139,368631,1196,99289,3147,40005,1845,44607,903,39870,825,74648,1010,74864,805,101547,885,40660,1881,52687,1669,43041,1696,112668,616,661995,1770,37398,638,517891,1568,62735,1894,326566,1246,335429,1422,661995,1770,26305,2193,51347,2569,67928,3204,28107,1874,156530,4406,11680,1188,20.9,0.9,91.7,0.6,459455,1666,117558,4005,17009,1092,4339,668,7265,888,164,154,650302,2133,1467,364,661995,1770,11693,1363,620058,1766,8804,320,653191,1810,661995,1770,269342,3139,210433,2893,58909,2956,661995,1770
Mississippi,28,01,39353,1440,268824,5094,319893,2194,51069,4932,58640,3592,57507,2801,48458,3254,89225,3504,99297,2959,100452,2292,49634,3609,44656,2953,44412,3179,99359,1600,740720,3364,49080,1882,550583,3378,45420,3027,385659,2966,355061,2950,740720,3364,58714,4408,41698,3747,54075,3845,28456,3263,157786,6082,30888,2986,17.3,1,81.2,1,477401,3612,105784,5366,1687,1535,3577,1115,195292,4809,68,100,729382,4190,6265,1837,740720,3364,11338,2358,522493,4580,22230,1144,718490,3794,740720,3364,268824,5094,198839,4417,69985,3971,740720,3364
Mississippi,28,02,31084,1122,256590,4357,308797,3218,52207,3586,54529,3024,60797,2622,56043,2589,96846,2914,86960,2778,102863,2719,52191,3043,47259,2747,42284,2502,90849,2003,743249,5400,52628,1518,550032,4993,40701,2822,384449,3377,358800,4416,743249,5400,65544,4636,32004,3300,55608,4373,31809,3372,137216,4729,39083,3424,18.7,1.1,77.6,1.1,467061,5436,105797,4753,1652,387,2886,1028,484956,5808,40,78,738811,5606,5182,2296,743249,5400,4438,1398,244095,5241,13208,2923,730041,5931,743249,5400,256590,4357,161377,4527,95213,3687,743249,5400
Mississippi,28,03,38630,1548,278202,4165,321991,2612,43789,3968,53644,3181,52319,3052,54505,2609,91962,3987,98999,3971,98817,3748,51057,3212,49081,2636,43192,2821,100277,2537,745254,6193,51401,1630,558538,4681,45946,3081,384890,3936,360364,5199,745254,6193,55268,3989,37900,4078,71948,4386,42560,3660,141266,5523,28077,2785,23.7,1,82.7,1.1,482328,4686,105309,4787,6941,574,6508,1623,262200,6967,0,206,739684,6373,3650,1476,745254,6193,5570,1897,460385,5165,15550,1518,729704,6394,745254,6193,278202,4165,205178,5030,73024,4198,745254,6193
Mississippi,28,04,39095,1488,277375,4259,331079,1362,53704,4316,54658,3011,56829,2630,50853,3172,99804,3175,96786,2496,102960,2522,48743,3112,48566,2813,41264,2620,96538,1434,749289,959,52288,1729,555852,2289,69081,3555,376880,2827,372409,2694,749289,959,55708,4374,47584,5194,59095,4539,36074,4068,142005,5776,27648,2667,19.6,1.3,82.8,1.1,485918,2858,117804,6824,1535,794,14106,2677,172911,4106,0,206,736293,3120,4168,2017,749289,959,12996,2966,543573,3125,30125,2237,719164,2343,749289,959,277375,4259,189269,4855,88106,4148,749289,959
Missouri,29,01,37115,1062,308606,5079,371885,3926,63279,4012,46073,3726,53516,2076,57635,2600,115984,3450,93102,2983,102236,2724,43619,2905,48457,2592,40284,2708,88457,3058,739977,7991,50614,1644,568606,6380,48385,3314,391474,5395,348503,4975,739977,7991,45168,3349,37579,3220,77562,4595,57925,3633,135247,5796,20626,2047,27.7,1.1,86.5,0.8,488520,5562,114413,5595,1149,605,17083,2269,361630,5396,361,440,717680,9218,5142,1788,739977,7991,22297,4319,332315,7039,23637,2155,716340,7964,739977,7991,308606,5079,163990,4539,144616,4949,739977,7991
Missouri,29,02,71239,1562,292322,4300,310583,4658,18261,3268,52173,3446,48047,2651,39321,3082,90355,4282,90640,3930,122982,3857,46993,3344,53531,3423,48143,3319,118754,3643,752403,10418,41464,2619,580569,7812,55576,3451,388270,6847,364133,6416,752403,10418,18685,2437,37401,3442,146068,5127,95362,4641,109449,4930,10950,1771,46,1.2,94.3,0.6,524405,6315,106490,5226,634,353,29808,2923,28866,5015,210,350,738455,10356,2287,1132,752403,10418,13948,2872,676650,9058,18357,2763,734046,10175,752403,10418,292322,4300,231124,3873,61198,3651,752403,10418
Missouri,29,03,51769,1265,288714,4442,335934,3594,47220,3696,55841,3660,54012,2795,46299,2252,95744,3298,101214,3374,116151,3487,50879,3077,50980,3513,45577,3449,97539,2661,762347,8295,48111,2076,574343,5797,63255,3479,383055,5063,379292,5395,762347,8295,36600,3188,40241,3266,79062,4523,40028,3358,169642,5648,17370,2060,23.5,1.1,89.4,0.7,507205,5089,124262,5883,1974,614,6598,2052,24418,2777,506,472,748126,8123,6836,2620,762347,8295,14221,2736,707794,8613,17180,1757,745167,8127,762347,8295,288714,4442,224319,4532,64395,3748,762347,8295
Missouri,29,04,42910,1394,282205,4287,341732,2561,59527,4284,48152,2746,59138,2240,67119,2459,98328,2803,85072,2339,101382,2372,48624,2545,52256,3071,39916,2886,107016,2023,755389,5003,48386,1688,564020,4201,70355,2932,377889,3800,377500,3477,755389,5003,39702,3024,34221,2993,68500,3877,43741,3268,168069,5882,19786,2833,23.2,1,87.7,0.8,483970,4234,109951,5533,2953,740,9792,1382,37941,2877,603,632,737868,5770,6617,2228,755389,5003,17521,2776,679962,5027,25199,1743,730190,5276,755389,5003,282205,4287,193748,4461,88457,3515,755389,5003
Missouri,29,05,42572,1266,301753,4055,352372,2506,50619,3741,45945,2887,47671,1753,50426,1894,109791,3056,93137,3097,106137,2629,51317,2867,47361,2489,43147,2444,101100,1850,747573,8770,51541,2453,569531,5573,56357,2836,387487,4355,360086,5335,747573,8770,47906,3898,35799,2531,79752,3636,44395,3340,154063,4732,20371,2413,24.8,1,86.4,0.9,500673,5134,118387,5269,3043,948,12613,1273,159524,4427,2151,599,722463,9409,27619,4230,747573,8770,25110,4030,517513,8990,64953,2614,682620,9215,747573,8770,301753,4055,183660,4272,118093,4170,747573,8770
Missouri,29,06,49367,1544,282863,4173,325889,2955,43026,3071,49834,2294,52449,1991,49099,2391,92463,3993,98000,3145,111852,2584,52503,3234,50765,2455,42718,2343,105087,1645,753729,9002,48959,2773,571152,6041,59362,2736,378324,5036,375405,5544,753729,9002,37621,2817,33626,3072,81683,4920,44451,2983,174511,5342,16593,1929,25.2,1.1,89.2,0.7,500885,5863,112400,4627,3385,1173,9275,1413,30163,3555,897,471,738230,9206,6010,2020,753729,9002,15499,2901,688500,8577,23632,2281,730097,9114,753729,9002,282863,4173,202401,3855,80462,3715,753729,9002
Missouri,29,07,40796,1338,295679,4506,345520,1569,49841,4627,46190,2625,53545,2165,56638,1905,95157,1816,89824,1745,102723,1549,51373,2974,47995,2742,44108,2547,116409,1925,751514,3545,47552,1078,575308,3291,68447,4000,383232,2846,368282,2453,751514,3545,49125,3988,33880,3037,77322,4834,36388,3041,158875,5144,18403,2146,22.9,1.1,86.4,0.9,496216,2855,122223,5193,6020,1340,7168,978,11849,1678,838,693,729291,4202,5248,2128,751514,3545,22223,2732,698168,4113,31671,678,719843,3573,751514,3545,295679,4506,193219,5005,102460,4533,751514,3545
Missouri,29,08,35965,885,288932,4060,339534,2112,50602,3937,47910,2741,49708,2084,48324,2170,87366,2093,88410,1887,109169,1937,50144,2813,50810,2878,50683,2886,120242,1535,747756,4256,44990,1352,575041,3640,68425,2982,375201,2643,372555,2918,747756,4256,66079,3104,33616,2983,46273,3260,26470,2182,190767,5821,33287,2780,14.4,0.8,80.4,0.8,506680,3332,110188,4581,3168,732,3850,856,33988,1700,126,179,733441,4770,1701,804,747756,4256,14315,1649,690608,4876,11743,709,736013,4178,747756,4256,288932,4060,200570,4587,88362,3903,747756,4256
Montana,30,00,44222,1078,404250,4567,489183,119,84933,4588,59101,3025,66109,1932,71919,2265,125005,2412,110809,1565,144371,1425,63828,2989,79474,2704,66158,2823,150976,950,998199,0,60449,1344,772072,1540,94872,3990,497888,1724,500311,1724,998199,0,38609,3202,56859,3421,132946,5890,57972,3650,206699,6315,13638,1668,28.2,1,92.3,0.6,676793,2419,170070,6155,66644,3337,5714,1173,4305,1404,968,838,974074,2788,5149,1668,998199,0,24125,2788,891294,2197,29331,620,968868,620,998199,0,404250,4567,274570,4597,129680,4780,998199,0
Nebraska,31,01,51306,1156,243614,2792,261954,1781,18340,2461,39875,1893,45726,1890,51105,1696,82503,2314,72806,2042,85312,1620,42163,2022,38891,2037,34116,2026,81542,1388,616728,3453,42689,1299,464466,2603,51244,2935,309142,2688,307586,2612,616728,3453,17740,2189,44723,3315,75775,3534,37614,2791,112355,4248,12465,1688,28.7,0.9,92.4,0.7,395170,2770,94498,3954,8462,1324,13354,1363,16328,1916,189,162,601164,3638,4507,1502,616728,3453,15564,2069,558324,4685,48416,1275,568312,3572,616728,3453,243614,2792,159919,3492,83695,3423,616728,3453
Nebraska,31,02,55114,1753,234319,2978,256328,1403,22009,2635,43032,2604,41145,884,43602,1545,96689,1660,82382,1547,82632,1144,47602,2401,36857,1703,31394,1529,63427,816,617475,2404,48713,1055,451647,2034,45000,2415,313188,1612,304287,1781,617475,2404,19025,2051,28172,2065,93303,3825,47258,2936,92555,4300,15210,1849,35.7,1.1,91.3,0.6,393381,1916,97858,3761,3840,1010,17504,1105,61026,2593,296,225,599912,3808,24040,3552,617475,2404,17563,3155,493206,4222,63614,1136,553861,2581,617475,2404,234319,2978,151015,3481,83304,3394,617475,2404
Nebraska,31,03,44995,994,245867,2829,282900,1104,37033,2838,41286,1932,44536,1876,34566,1798,66653,1746,65582,1636,87444,1684,40909,1776,43622,2252,39432,2239,104828,1088,608438,2314,39580,1490,461285,1822,49860,2024,307815,2243,300623,2442,608438,2314,24300,1956,41656,2314,56744,2800,23433,1805,142313,3961,19024,1762,19.7,0.9,89.4,0.6,407561,2430,100091,3516,5683,1279,3659,931,6339,1271,208,141,601190,2656,11946,2695,608438,2314,7248,1424,573355,3552,61400,783,547038,2399,608438,2314,245867,2829,173374,3031,72493,3161,608438,2314
Nevada,32,01,36447,1511,235794,6026,296856,6152,61062,3480,39394,3672,46052,3903,50492,4410,98843,7031,88162,6426,96439,5567,43032,3883,37509,2780,36139,3296,78940,4229,659962,20891,44960,4888,503806,14068,43772,3495,317083,10809,342879,12863,659962,20891,55837,3881,24946,2380,46933,4416,18389,2242,139933,8691,50278,5072,15,1.1,75.7,1.4,436032,12116,99716,5940,4502,1386,56482,6718,60013,6976,4535,2252,635720,20643,76071,10719,659962,20891,24242,4242,434117,19119,282910,16646,377052,13156,659962,20891,235794,6026,102599,4070,133195,5346,659962,20891
Nevada,32,02,51505,1480,255894,4107,296631,1725,40737,4274,43549,3024,45695,2425,45670,2424,85954,2508,88118,2250,99218,1575,43789,3054,43753,3023,47920,2722,92454,1820,679147,3250,43027,937,519230,2579,67297,3709,336154,2534,342993,2785,679147,3250,38676,4085,37072,3442,71855,4853,40879,3139,122493,6280,24990,3132,24.6,1.2,86.1,1.1,457417,3129,121452,5369,17180,1993,25573,2729,13427,1493,2693,748,659538,4716,48372,8991,679147,3250,19609,3829,552293,9182,143495,1351,535652,3117,679147,3250,255894,4107,158197,4542,97697,4280,679147,3250
Nevada,32,03,61286,2913,259602,6654,312933,6798,53331,5379,43882,4532,40036,3997,41721,4700,106437,6719,108437,7343,93116,5408,50764,4738,46744,4373,40423,4547,88611,5156,703278,17510,43107,4784,536975,12713,53854,5539,364509,10080,338769,11610,703278,17510,33686,5122,33323,4367,100715,7081,53004,5146,125743,8621,11400,2870,31.8,1.7,90.7,1.3,483768,11397,125897,7637,2644,1325,82861,8891,53491,10252,5510,3004,674366,16833,14575,5599,703278,17510,28912,5815,515285,19013,108410,13681,594868,13288,703278,17510,259602,6654,153798,6309,105804,5693,703278,17510
