state,fips,district,Income (In 2011 Inflation-Adjusted Dollars):Median Household Income,Income (In 2011 Inflation-Adjusted Dollars):Median Household IncomeMOE,Housing Occupancy:Occupied Housing Units,Housing Occupancy:Occupied Housing UnitsMOE,Housing Occupancy:Total Housing Units,Housing Occupancy:Total Housing UnitsMOE,Housing Occupancy:Vacant Housing Units,Housing Occupancy:Vacant Housing UnitsMOE,Age:10 to 14 years,Age:10 to 14 yearsMOE,Age:15 to 19 years,Age:15 to 19 yearsMOE,Age:20 to 24 years,Age:20 to 24 yearsMOE,Age:25 to 34 years,Age:25 to 34 yearsMOE,Age:35 to 44 years,Age:35 to 44 yearsMOE,Age:45 to 54 years,Age:45 to 54 yearsMOE,Age:5 to 9 years,Age:5 to 9 yearsMOE,Age:55 to 59 years,Age:55 to 59 yearsMOE,Age:60 to 64 years,Age:60 to 64 yearsMOE,Age:65 years and over,Age:65 years and overMOE,Age:Total Population,Age:Total PopulationMOE,Age:Under 5 years,Age:Under 5 yearsMOE,Veteran Status:Civilian Population 18 Years and Over,Veteran Status:Civilian Population 18 Years and OverMOE,Veteran Status:Civilian Veterans,Veteran Status:Civilian VeteransMOE,Sex:Female,Sex:FemaleMOE,Sex:Male,Sex:MaleMOE,Sex:Total Population,Sex:Total PopulationMOE,Educational Attainment:9th to 12th Grade No Diploma,Educational Attainment:9th to 12th Grade No DiplomaMOE,Educational Attainment:Associate's Degree,Educational Attainment:Associate's DegreeMOE,Educational Attainment:Bachelor's Degree,Educational Attainment:Bachelor's DegreeMOE,Educational Attainment:Graduate or Professional Degree,Educational Attainment:Graduate or Professional DegreeMOE,Educational Attainment:High School Graduate (Includes Equivalency),Educational Attainment:High School Graduate (Includes Equivalency)MOE,Educational Attainment:Less than 9th Grade,Educational Attainment:Less than 9th GradeMOE,Educational Attainment:Percent Bachelor's Degree or Higher,Educational Attainment:Percent Bachelor's Degree or HigherMOE,Educational Attainment:Percent High School Graduate or Higher,Educational Attainment:Percent High School Graduate or HigherMOE,Educational Attainment:Population 25 Years and Over,Educational Attainment:Population 25 Years and OverMOE,Educational Attainment:Some College No Degree,Educational Attainment:Some College No DegreeMOE,Race:American Indian and Alaska Native,Race:American Indian and Alaska NativeMOE,Race:Asian,Race:AsianMOE,Race:Black or African American,Race:Black or African AmericanMOE,Race:Native Hawaiian and Other Pacific Islander,Race:Native Hawaiian and Other Pacific IslanderMOE,Race:One Race,Race:One RaceMOE,Race:Some Other Race,Race:Some Other RaceMOE,Race:Total Population,Race:Total PopulationMOE,Race:Two or More Races,Race:Two or More RacesMOE,Race:White,Race:WhiteMOE,Hispanic or Latino Origin:Hispanic or Latino (of any race),Hispanic or Latino Origin:Hispanic or Latino (of any race)MOE,Hispanic or Latino Origin:Not Hispanic or Latino,Hispanic or Latino Origin:Not Hispanic or LatinoMOE,Hispanic or Latino Origin:Total Population,Hispanic or Latino Origin:Total PopulationMOE,Housing Tenure:Occupied Housing Units,Housing Tenure:Occupied Housing UnitsMOE,Housing Tenure:Owner-Occupied Housing Units,Housing Tenure:Owner-Occupied Housing UnitsMOE,Housing Tenure:Renter-Occupied Housing Units,Housing Tenure:Renter-Occupied Housing UnitsMOE,Population:Total Population,Population:Total PopulationMOE
Arkansas,05,04,34630,1324,282645,5176,344727,2446,62082,4148,50413,2336,52080,2731,47184,2476,84560,3526,85892,2620,103869,2301,44941,2489,49846,2105,48176,2238,122100,2070,736183,6211,47122,1899,562900,4486,63204,3577,375169,3793,361014,4168,736183,6211,56342,3805,28855,2696,46099,3459,25709,2593,194218,6063,32923,2361,14.5,0.8,81.9,0.9,494443,4679,110297,4824,3522,1022,3457,993,144703,1990,819,750,725852,6748,16526,2744,736183,6211,10331,1990,556825,6495,40476,1885,695707,5587,736183,6211,282645,5176,198533,4834,84112,3889,736183,6211
California,06,01,41709,1190,270855,5195,320323,3510,49468,4158,39563,3153,46757,2129,55098,2386,81337,3120,71974,2270,99287,2748,39586,2941,55966,3460,50031,2856,122807,2671,699301,6443,36895,1794,554892,5386,69956,3598,350188,4427,349113,4628,699301,6443,38476,3048,49794,3712,69593,3806,35908,3223,120341,5045,18478,2564,21.9,1,88.2,0.8,481402,5585,148812,5839,11898,1986,17489,1546,9746,1247,2087,930,664287,6848,22593,4070,699301,6443,35014,3585,600474,6660,86840,3098,612461,6278,699301,6443,270855,5195,174695,4304,96160,3791,699301,6443
California,06,02,56576,2206,271340,4007,319463,3234,48123,3788,42809,3592,41993,2077,41957,2624,82470,3566,88105,2909,108893,3663,38329,3095,58515,3518,54020,3991,111193,2491,707530,5751,39246,1999,560920,4929,51827,3529,355693,4460,351837,4042,707530,5751,30068,2781,38990,3901,120504,5132,70035,4645,102349,6441,22608,3209,37.9,1.3,89.5,0.9,503196,5383,118642,5158,16492,2854,25603,2538,13042,1643,1873,842,676279,6543,47604,6351,707530,5751,31251,3416,571665,7892,119934,5854,587596,6416,707530,5751,271340,4007,164435,4507,106905,4840,707530,5751
California,06,03,53602,2211,236334,3779,261456,3215,25122,2701,44084,2985,54388,2894,66980,3445,91721,4478,89169,3651,96323,3607,50779,2744,40105,3136,38713,2646,81494,2663,698044,7292,44288,2203,522991,6775,56167,3313,347625,4247,350419,6046,698044,7292,39852,3992,37041,3186,64045,4582,37801,3562,104217,5628,34986,3431,23.3,1.4,82.9,1.2,437525,6616,119583,5504,9309,1898,73392,4794,44363,4745,2873,1109,654638,9082,77268,8099,698044,7292,43406,4745,447433,9776,201096,6107,496948,6991,698044,7292,236334,3779,141778,4315,94556,4421,698044,7292
California,06,04,61303,1957,269605,4348,352488,3684,82883,4881,46011,3773,45717,2744,34317,2806,74084,3442,90088,2799,114698,3004,43498,2920,54119,3276,55349,3520,117370,2906,711815,8135,36564,1743,556392,6438,69421,4166,354661,4792,357154,4901,711815,8135,21990,2735,49246,3808,108149,6406,49550,5093,111127,6289,13320,2099,31.2,1.5,93,0.7,505708,5730,152326,6449,11766,2731,30909,2914,7889,1024,460,312,686138,8940,23032,4226,711815,8135,25677,3555,612082,9046,90008,3121,621807,7290,711815,8135,269605,4348,195186,5005,74419,4480,711815,8135
California,06,05,58942,2440,258768,4625,284404,4146,25636,2798,42164,3240,47293,2696,45965,2983,89705,4925,86773,3477,105931,4277,47324,3553,52640,3729,50507,3276,99691,3522,709544,9601,41551,2672,549833,7166,48036,3434,361830,6968,347714,6530,709544,9601,32187,3747,42208,3540,98101,5745,45589,3146,111226,5722,34723,3738,29.6,1.4,86.2,1.1,485247,7192,121213,5091,8413,2287,76897,5998,46419,6099,3723,1207,675730,9670,42195,6541,709544,9601,33814,4378,498083,9729,183820,8309,525724,9872,709544,9601,258768,4625,151443,4727,107325,5075,709544,9601
California,06,06,44523,2079,256749,5231,283267,5636,26518,4033,50137,4508,48626,3006,59260,4513,115899,5503,93497,4329,91084,4138,54151,4096,42196,3260,30379,2777,74873,3213,713579,10404,53477,3461,526032,9400,40610,3047,362511,8483,351068,6335,713579,10404,38678,4047,38431,3711,70483,4424,39774,4484,100515,6447,44012,4372,24.6,1.3,81.5,1.4,447928,8582,116035,6511,10639,3259,118451,7926,86468,6714,7978,2297,664235,11601,55909,8803,713579,10404,49344,5932,384790,15248,187609,10937,525970,11864,713579,10404,256749,5231,125378,4708,131371,5571,713579,10404
California,06,07,60537,1975,252740,5575,271789,5414,19049,2961,52179,4144,52758,3148,46908,3715,95080,4942,94510,4061,105950,3947,41982,4557,47539,2681,39284,3016,87595,2938,710607,11539,46822,3180,535057,9902,56105,3690,364434,8748,346173,7031,710607,11539,24732,2483,48292,4303,94352,5971,50812,4449,100844,5728,20376,3412,30.9,1.4,90.4,0.9,469958,8367,130550,6134,4391,1069,88469,7109,55691,6611,6998,2387,665553,12206,40748,7728,710607,11539,45054,5301,469256,15337,122097,9342,588510,11716,710607,11539,252740,5575,157632,5201,95108,4736,710607,11539
California,06,08,45879,2167,225740,5140,303054,6368,77314,5343,60425,5169,54079,4176,53478,4334,90913,5741,80441,4985,96834,5078,51045,5054,40855,3975,39241,3747,78952,4816,699443,11714,53180,5099,486791,9713,54018,4689,345886,7767,353557,8491,699443,11714,46457,4205,36806,4564,41540,4557,24967,3075,123404,8224,29339,4840,15.6,1.2,82.3,1.5,427236,7976,124723,7408,8986,2180,23805,6952,54122,7953,2760,1678,675634,11223,95676,12410,699443,11714,23809,3962,490285,16491,251169,15034,448274,14040,699443,11714,225740,5140,147854,5461,77886,5260,699443,11714
California,06,09,52209,1855,218704,5208,240036,4999,21332,2641,57641,4272,58307,3151,52876,3304,91011,5318,94889,5872,93400,4093,53859,4103,42423,3515,31984,2851,77413,3781,707132,12214,53329,3354,504836,10399,37878,2848,355886,7071,351246,8307,707132,12214,40769,3544,36214,3340,55711,5326,24694,3367,111614,6137,47362,4868,18.7,1.3,79.6,1.3,431120,8895,114756,6273,7177,2605,94097,6327,58732,6955,3047,1314,665264,13975,69439,9350,707132,12214,41868,7419,432772,15193,277404,11445,429728,12628,707132,12214,218704,5208,132217,5692,86487,4099,707132,12214
